"soil_moist";"Clay";"WHC";"Magnesium";"Calcium";"bulk_density";"MWD";"C_tot_mg";"N_tot_mg";"P_tot_mg";"pH";"bact16S";"fungITS";"Lat";"Long";"temp";"precip";"bact_sobs";"bact_shan";"bact_pielou";"cerco_sobs";"cerco_shan";"cerco_pielou";"fung_sobs";"fung_shan";"fung_pielou";"beta_b.bray";"beta_f.bray";"beta_c.bray";"mgt_disp"
"043FRAcr ";0.087982833;34.5;0.462540865;0.78;0.51;1.378946504;0.642878317;59100;940;348.57;8.05;1676376.938;100697.2702;43.615201;3.975673;13.9;754;1449;6.33171450503882;0.869904834442631;349;4.98583835326808;0.851541777712719;122;4.05591416253153;0.844274853245721;0.409950419388259;0.521110852741755;0.41818962385549;NA
"044FRAcr ";0.063559322;27.2;0.423941046;0.6;0.6;1.236740011;0.474455861;52300;920;349.3;8.09;1523454.188;155315.4235;43.6139;3.97918;13.9;754;1504;6.42280188323964;0.877925663972149;384;5.0696593744284;0.851951588358098;128;3.90228844815339;0.804258884609884;0.39825607463364;0.537413766527598;0.378571316196642;3.402542741
"046FRAcr";0.140077821;40.1;0.589585364;0.66;0.38;1.062637128;1.179986025;19000;1730;416.94;7.87;1507720.375;104494.9838;47.1357;5.53039;10.5;890;1537;6.5278860905968;0.889650157348399;319;4.49433927264743;0.779564665337193;101;3.42075810613319;0.741206669175883;0.332837291315698;0.417313810636576;0.423409288959813;5.135536898
"047FRAcr ";0.119733925;34.4;0.532998979;0.34;0.48;1.161306883;2.367681211;16900;1550;676.28;7.83;1561041;70523.81588;47.135861;5.52108;10.5;890;1639;6.74438548219625;0.911176686294446;377;4.98306130371116;0.839995844112239;135;3.81832896490677;0.77841285909009;0.334311431913824;0.455673091993397;0.356409109018609;NA
"048FRAcr ";0.098684211;36.3;0.496982396;0.91;0.37;1.196614982;1.185554208;12300;1300;570.8;6.5;1603707.563;99416.75222;47.131621;5.53161;10.5;890;1651;6.67519256673988;0.900940698995696;451;5.18464293431344;0.848346664769274;103;3.44682083094617;0.743694149042959;0.30824027600818;0.4796343152847;0.314587682404643;4.99717858
"049FRAcr ";0.093167702;31.9;0.476266414;0.9;0.32;1.219214485;1.086052079;10800;1170;442.34;6.9;1177312.656;58337.48234;47.133361;5.45433;10.7;843;1595;6.67277304472519;0.904828301322637;372;4.93645025834244;0.834015675881494;116;3.81235917331359;0.801995759004687;0.298482683443692;0.464903657418298;0.349298631853315;2.087741402
"050FRAcr ";0.162895928;26.4;0.598240077;0.46;0.53;1.061725596;1.003955634;90200;3170;873.08;7.9;1483370.5;60320.25345;47.133872;5.33897;10.9;813;1679;6.79083606251397;0.914473261766419;321;4.77820063378966;0.827904249883139;116;3.83389710449063;0.806526635733888;0.351338952199958;0.494975432586307;0.415904457395598;2.290448809
"051FRAcr";0.096969697;30.4;0.496604383;0.78;0.41;1.204041579;0.656986368;13100;1410;750.85;7.1;1425372.094;96806.14911;47.143577;5.35308;10.9;813;1700;6.75123288853165;0.907620971849973;403;5.22479229650929;0.870953083526828;122;3.79883819694155;0.79076218891803;0.295851773686645;0.439303290975026;0.338379589184689;4.247905219
"054FRAcr";0.088552916;32;0.455753773;0.96;0.49;1.255891656;0.491927684;10400;1000;786.49;6.81;1614128.375;109294.4594;47.243276;5.100211;10.7;765;1553;6.58418934273713;0.896058748026154;365;4.81690887949694;0.816439437979723;107;3.16263388128824;0.676813551988883;0.343342479690235;0.536480781713344;0.385924368933581;NA
"055FRAcr";0.10840708;43.4;0.4979451;0.84;0.44;1.107312595;2.425779154;18300;1780;698.21;7.52;1679989.75;157281.8619;47.240649;5.09639;10.7;765;1460;6.46071785929801;0.88670709092945;394;5.02706104782521;0.841158948682911;126;3.81207736573663;0.788224805559268;0.336920140117098;0.450963483318818;0.32151415883986;NA
