"","phylum","class","order","family","genus","species","nutrition","morphology"
"OTUc_12716","Cercozoa","Granofilosea","Granofilosea_unassigned","Novel_Gran_123456","unclassified","unclassified","unknown","unknown"
"OTUc_12717","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_12718","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_edax","omnivore","naked_amoeboflagellate"
"OTUc_12719","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_1272","Endomyxa","Phytomyxea","Plasmodiophorida","Spongospora_lineage","unclassified","unclassified","plant_parasite","endoparasite"
"OTUc_12720","Cercozoa","Imbricatea","Euglyphida","Euglyphidae","Euglypha","Euglypha_rotunda","omnivore","testate_cell_silica"
"OTUc_12721","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12722","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_edax","omnivore","naked_amoeboflagellate"
"OTUc_12723","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12724","Cercozoa","Granofilosea","Limnofilida","Limnofilidae","Limnofila","Limnofila_anglica","bacterivore","naked_amoeboflagellate"
"OTUc_12725","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_12726","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_12727","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_12728","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_12729","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Eocercomonas","Eocercomonas_sp.","omnivore","naked_amoeboflagellate"
