OTU;kingdom;phylum;class;order;family;genus;species
OTU_42494;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;unclassified;unclassified
OTU_42498;Bacteria;Proteobacteria;Deltaproteobacteria;Spirobacillales;unclassified;unclassified;unclassified
OTU_425090;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;unclassified;unclassified;unclassified
OTU_425139;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified;unclassified
OTU_425322;Bacteria;OP11;WCHB1-64;d153;unclassified;unclassified;unclassified
OTU_42553;Bacteria;Gemmatimonadetes;Gemmatimonadetes;unclassified;unclassified;unclassified;unclassified
OTU_425574;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_42559;Bacteria;Chloroflexi;Chloroflexi;[Roseiflexales];[Kouleothrixaceae];unclassified;unclassified
OTU_4256;Bacteria;Firmicutes;Clostridia;MBA08;unclassified;unclassified;unclassified
OTU_425629;Bacteria;Chloroflexi;Ktedonobacteria;Thermogemmatisporales;Thermogemmatisporaceae;unclassified;unclassified
OTU_42578;Bacteria;TM6;SJA-4;unclassified;unclassified;unclassified;unclassified
OTU_42582;Bacteria;Bacteroidetes;[Saprospirae];[Saprospirales];Chitinophagaceae;unclassified;unclassified
OTU_425842;Bacteria;Gemmatimonadetes;Gemmatimonadetes;Ellin5290;unclassified;unclassified;unclassified
OTU_425996;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;unclassified;unclassified
OTU_426;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;unclassified;unclassified
OTU_426029;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Aquicella;unclassified
OTU_426034;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Kaistobacter;unclassified
OTU_42608;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;unclassified
OTU_426083;Bacteria;TM7;SC3;unclassified;unclassified;unclassified;unclassified
