Sample_No;country_ID;Sample_ID;country;landuse;landuse_ID;SM;Clay;BD;MWD;Ctot_mg;Ntot_mg;Ptot_mg;pH;Lat;Long;MAT;MAP;bact16S;fungITS
s117;SWI;CH45;Switzerland;cropland;cr;0.292;38.1;0.71;2.33;58500;4710;1690.23;7.86;47.42788333;8.212366667;9.4;1025;1448467.563;79021.62512
s118;SWI;CH46;Switzerland;cropland;cr;0.253;15.3;0.97;2.09;18300;2000;1012.14;6.31;47.45225;8.271816667;9.3;1035;1068441.542;83110.18844
s119;SWI;CH47;Switzerland;grassland;gr;0.191;26.9;1.08;2.79;20100;2070;690.52;6.36;47.43156667;8.21055;9.4;1025;1319343.266;43589.14717
s120;SWI;CH48;Switzerland;cropland;cr;0.248;21.7;1.07;2.57;48100;2550;997.07;7.87;47.39946667;8.578533333;8.8;1112;1564511.313;93568.88016
s121;SWI;CH49;Switzerland;cropland;cr;0.25;21.4;1.12;1.69;19600;2170;1011.41;7.3;47.4221;8.144833333;9.3;1012;2257677.375;123330.402
s122;SWI;CH50;Switzerland;grassland;gr;0.397;25.7;0.87;3.96;51700;4270;704.89;7.49;47.39281667;8.590733333;9;1099;1443264.813;42125.55612
s123;SWI;CH51;Switzerland;cropland;cr;0.241;16.4;1.06;2.68;17800;1880;940.08;6.76;47.3921;8.5922;9;1099;1775022.625;117468.3573
s124;SWI;CH52;Switzerland;cropland;cr;0.195;15.9;1.3;1.31;13700;1520;575.83;6.46;47.43316667;8.4015;9.1;1071;1842808.563;112841.558
s125;SWI;CH53;Switzerland;grassland;gr;0.277;21.7;0.92;3.6;34500;3740;1105.18;6.73;47.32913333;8.7503;8.9;1122;2288217.75;77687.81964
s126;SWI;CH54;Switzerland;cropland;cr;0.222;16.1;0.89;3;21400;2330;887.53;6.12;47.32871667;8.750616667;8.9;1122;1547833.75;74621.17077
s127;SWI;CH55;Switzerland;cropland;cr;0.184;29.1;1.13;1.32;14500;1720;864.96;6.24;46.3987;6.233016;9.9;966;1989711.563;178800.0013
s128;SWI;CH56;Switzerland;grassland;gr;0.233;26.5;1.15;3.26;26400;2810;877.77;6.1;46.3987;6.233016;9.9;966;1957145.188;97887.89684
s129;SWI;CH57;Switzerland;cropland;cr;0.205;22.4;1.16;1.72;17700;1960;886.36;7.4;46.3987;6.233016;9.9;966;1329587.813;54470.2057
s130;GER;CH58;Germany;cropland;cr;0.235;35.4;1;3.61;69700;3780;566.15;7.91;48.14403333;10.69398333;8;906;1858273.188;73148.0237
s131;GER;CH59;Germany;cropland;cr;0.231;22.5;1.14;3.65;27300;2870;918.23;6.25;48.32361667;10.6249;8.3;840;1531680.875;85193.20548
s132;GER;CH60;Germany;cropland;cr;0.352;37.8;0.88;1.95;72600;3310;544.19;8.06;48.18803333;10.72518333;8.1;892;1330276.438;54464.94468
s133;GER;CH61;Germany;cropland;cr;0.269;18.7;1.15;0.91;12400;1270;768.05;6.12;48.02288333;10.76066667;7.8;956;1066906.203;50242.10113
s134;GER;CH62;Germany;cropland;cr;0.113;23;1.15;2.13;16800;1760;847.25;7.18;48.62366667;12.82723333;8;902;1448792.313;79961.70587
s135;GER;CH63;Germany;cropland;cr;0.127;33.1;1.2;1.92;13500;1430;457.08;7.43;48.65931667;12.77893333;8.1;871;1367566.719;93989.87919
s136;GER;CH64;Germany;cropland;cr;0.127;20.6;1.27;0.7;13700;1420;809.63;6.98;48.6476;12.9002;8.3;878;1524681.5;100351.5549
s137;GER;CH65;Germany;cropland;cr;0.083;19.7;1.33;1.04;12500;1280;659.78;6.96;48.75203333;12.8242;8.4;812;1913994.125;171372.0726
s138;GER;CH66;Germany;cropland;cr;0.125;26.2;1.22;0.86;24900;1640;735.69;7.79;48.1639;10.76105;8.1;912;1672258.875;118504.8228
s139;GER;CH67;Germany;cropland;cr;0.13;24.6;1.25;1.37;19800;1890;893.98;7.68;48.1594;10.7612;8.1;912;1738515.625;76802.86566
